Year,Álava,Albacete,Alicante,Almería,Ávila,Badajoz,Baleares,Barcelona,Burgos,Cáceres,Cádiz,Castellón,Ciudad real,Córdoba,Coruña,Cuenca,Gerona,Granada,Guadalajara,Guipúzcoa,Huelva,Huesca,Jaén,León,Lérida,Logroño,Lugo,Madrid,Málaga,Murcia,Navarra,Ourense,Oviedo,Palencia,Palmas,Pontevedra,Salamanca,Santa cruz de tenerife,Santander,Segovia,Sevilla,Soria,Tarragona,Teruel,Toledo,Valencia,Valladolid,Vizcaya,Zamora,Zaragoza,Ceuta,Melilla
1977,4,5,11,5,4,7,7,38,5,5,10,5,6,8,11,4,6,8,3,8,5,4,7,6,5,4,5,38,9,9,6,6,11,4,8,9,5,8,6,3,13,3,6,3,6,18,6,11,4,9,2,1
1979,6,5,11,5,4,7,7,39,5,5,10,5,6,8,11,4,6,8,3,8,5,4,7,6,5,4,5,38,10,9,6,5,11,3,7,9,5,7,6,3,13,3,6,3,6,18,6,12,4,8,2,1
1982,4,5,11,5,3,7,7,39,5,5,10,5,6,8,11,4,6,8,3,7,5,4,7,6,5,4,5,39,10,10,6,5,11,3,8,9,5,7,6,3,14,3,6,3,6,18,6,11,4,9,2,1
1986,4,5,12,6,3,7,7,39,5,5,10,6,6,8,11,4,6,8,3,8,5,4,7,6,5,4,5,41,11,10,6,5,11,4,8,9,5,8,6,3,3,3,6,3,6,19,6,12,4,9,2,1
1989,4,5,11,5,3,7,7,38,5,5,10,5,6,8,11,4,6,8,3,7,5,4,7,6,5,4,5,39,11,10,6,5,11,3,8,9,5,8,6,3,14,3,6,3,6,18,6,11,4,8,2,1
1993,4,5,12,6,3,7,7,38,5,5,10,5,6,8,10,4,6,8,3,7,5,4,7,6,5,4,5,40,11,10,6,5,10,3,8,7,5,8,6,3,15,3,6,3,6,18,6,11,4,8,2,1
1996,4,5,12,6,3,7,8,37,5,5,10,5,6,8,10,4,6,8,3,7,5,4,7,6,5,4,5,39,11,10,6,5,10,3,8,9,5,8,6,3,15,3,6,3,6,18,6,10,4,8,2,1
2000,4,5,13,6,3,7,8,37,5,5,10,5,5,8,10,3,6,8,3,7,5,4,7,6,5,4,5,40,11,10,6,5,10,3,9,9,5,8,6,3,15,3,6,3,6,18,6,10,3,8,2,1
2004,4,5,14,6,3,7,9,38,4,5,10,6,5,7,10,3,6,8,3,7,5,3,7,5,5,4,4,42,12,11,6,4,9,3,9,8,4,8,6,3,15,3,7,3,6,18,6,10,3,8,2,1
2008,4,5,14,6,3,6,9,38,4,5,10,6,5,7,9,3,7,8,4,7,5,3,6,5,5,4,4,43,12,11,6,4,9,3,9,8,4,9,6,3,14,3,7,3,6,19,5,10,3,8,2,1
2011,4,5,14,6,3,6,9,37,4,5,10,6,5,7,9,3,7,8,4,7,5,3,6,5,5,4,4,44,12,11,6,4,9,3,9,8,4,9,6,3,14,3,7,3,7,18,5,9,3,8,2,2
